Region,ADFGStreamCode,StreamName,SurveyDate,SurveyType,ProcessingAreaNum,Latitude,Longitude,SampleTrayId,SampleCell,Species,Sex,Length,MissingOtoliths,MissingDNA,AlternateTissueSample,LastSpecimenForProcArea,SpawningState,ScaleCardNumber,ScaleCardRow,PreSpawn,PartialSpawner,PreyedUpon,TagNumber,TagStatus,LengthTypeCode,OpercularPunchCode,Hatchery,Age,MarkId,MarkPresent,MarkStatus,MarkStatusDescription,Comments,DeviceId,LastModifiedBy,LastModifiedDate,QABy,QADate,TransDate,MissingAdfgData,NoHWAnalysis,NoLengthAnalysis,NoSexAnalysis,NoAgeAnalysis,AdfgDataUpdated
SE,115-20-10520,Sawmill Creek (Tag Release),7/25/2021,2,1,,,0000023235,1,450,F,600,0,False,False,False,Alive,3,1,False,False,False,1008,,01,"UL",,,,Null,Null,,"",4YGP-2021,Jenna Wisniewski,8/15/2021,Jenna Wisniewski,8/15/2021,8/16/2021,True,False,False,False,False,False
SE,115-20-10520,Sawmill Creek (Tag Release),7/25/2021,2,1,,,0000023235,2,450,F,633,0,False,False,False,Alive,3,2,False,False,False,109,,01,"UL",,,,Null,Null,,"",4YGP-2021,Jenna Wisniewski,8/15/2021,Jenna Wisniewski,8/15/2021,8/16/2021,True,False,False,False,False,False
SE,115-20-10520,Sawmill Creek (Tag Release),7/25/2021,2,1,,,0000023235,3,450,M,691,0,False,False,False,Alive,3,3,False,False,False,1010,,01,"UL",,,,Null,Null,,"",4YGP-2021,Jenna Wisniewski,8/15/2021,Jenna Wisniewski,8/15/2021,8/16/2021,True,False,False,False,False,False
SE,115-20-10520,Sawmill Creek (Tag Release),7/25/2021,2,1,,,0000023235,4,450,M,585,0,False,False,False,Alive,3,4,False,False,False,1011,,01,"UL",,,,Null,Null,,"",4YGP-2021,Jenna Wisniewski,8/15/2021,Jenna Wisniewski,8/15/2021,8/16/2021,True,False,False,False,False,False
SE,115-20-10520,Sawmill Creek (Tag Release),7/25/2021,2,1,,,0000023235,5,450,M,597,0,False,False,True,Alive,3,5,True,False,False,1012,,01,"UL",,,,Null,Null,,"",4YGP-2021,Jenna Wisniewski,8/15/2021,Jenna Wisniewski,8/15/2021,8/16/2021,True,False,False,False,False,False
SE,111-33-10100,Prospect Creek,7/12/2021,1,1,57.049887323005900,-135.324064851677000,0000028000,1,450,F,551,0,False,False,False,Pink Gill,501,1,True,False,False,,,04,"",,,,Null,Null,,"",9FVY-2021,Prospect Crew,7/13/2021,Prospect Crew,7/13/2021,7/13/2021,True,False,False,False,False,False
SE,111-33-10100,Prospect Creek,7/12/2021,1,1,57.049887323005900,-135.324064851677000,0000028000,10,450,M,492,0,False,False,False,Pink Gill,,,True,False,False,,,04,"",,,,Null,Null,,"",9FVY-2021,Prospect Crew,7/13/2021,Prospect Crew,7/13/2021,7/13/2021,True,False,False,False,False,False
SE,111-33-10100,Prospect Creek,7/12/2021,1,1,57.049887323005900,-135.324064851677000,0000028000,11,450,F,547,0,False,False,False,Pink Gill,,,True,False,False,,,04,"",,,,Null,Null,,"",9FVY-2021,Prospect Crew,7/13/2021,Prospect Crew,7/13/2021,7/13/2021,True,False,False,False,False,False
SE,111-33-10100,Prospect Creek,7/12/2021,1,1,57.049887323005900,-135.324064851677000,0000028000,12,450,F,505,1,False,False,False,Pink Gill,,,False,False,False,,,04,"",,,,Null,Null,,"",9FVY-2021,Prospect Crew,7/13/2021,Prospect Crew,7/13/2021,7/13/2021,True,False,False,False,False,False
SE,111-33-10100,Prospect Creek,7/12/2021,1,1,57.049887323005900,-135.324064851677000,0000028000,13,450,F,520,0,False,False,False,Pink Gill,,,True,False,False,,,04,"",,,,Null,Null,,"",9FVY-2021,Prospect Crew,7/13/2021,Prospect Crew,7/13/2021,7/13/2021,True,False,False,False,False,False
SE,111-33-10100,Prospect Creek,7/12/2021,1,1,57.049887323005900,-135.324064851677000,0000028000,14,450,M,491,0,False,False,False,Pink Gill,,,True,False,False,,,04,"",,,,Null,Null,,"",9FVY-2021,Prospect Crew,7/13/2021,Prospect Crew,7/13/2021,7/13/2021,True,False,False,False,False,False
SE,111-33-10100,Prospect Creek,7/12/2021,1,1,57.049887323005900,-135.324064851677000,0000028000,15,450,F,455,0,False,False,False,Pink Gill,,,True,False,False,,,04,"",,,,Null,Null,,"",9FVY-2021,Prospect Crew,7/13/2021,Prospect Crew,7/13/2021,7/13/2021,True,False,False,False,False,False
