Collection ID,Silly Code,Fish ID,Sample Date,Sex,Length Mm,Tissue Type,DNA Tray Code,DNA Tray Well Code,Location Code,Sample ID,Otolith Mark Present,Otolith Mark ID,Otolith Mark Status Code,Sample Year,Is Missing Paired Data Exists,Well Has More Than One Sample
52205,CMSAWCR13,1,2013-07-23 00:00:00,F,525,Heart-bulbus arteriosus,1300001387,1,Sawmill Creek,52205_1,NO,,1L0n,2013,,
52205,CMSAWCR13,2,2013-07-23 00:00:00,F,470,Heart-bulbus arteriosus,1300001387,2,Sawmill Creek,52205_2,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,3,2013-07-23 00:00:00,F,535,Heart-bulbus arteriosus,1300001387,3,Sawmill Creek,52205_3,YES,DIPAC07,1L0n,2013,,
52205,CMSAWCR13,4,2013-07-23 00:00:00,F,500,Heart-bulbus arteriosus,1300001387,4,Sawmill Creek,52205_4,NO,,1L0n,2013,,
52205,CMSAWCR13,5,2013-07-23 00:00:00,F,520,Heart-bulbus arteriosus,1300001387,5,Sawmill Creek,52205_5,YES,DIPAC08,1L0n,2013,,
52205,CMSAWCR13,6,2013-07-23 00:00:00,F,559,Heart-bulbus arteriosus,1300001387,7,Sawmill Creek,52205_6,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,7,2013-07-23 00:00:00,M,560,Heart-bulbus arteriosus,1300001387,8,Sawmill Creek,52205_7,NO,,1L0n,2013,,
52205,CMSAWCR13,8,2013-07-23 00:00:00,M,560,Heart-bulbus arteriosus,1300001387,9,Sawmill Creek,52205_8,YES,DIPAC07,1L0n,2013,,
52205,CMSAWCR13,9,2013-07-23 00:00:00,F,545,Heart-bulbus arteriosus,1300001387,10,Sawmill Creek,52205_9,NO,,1L0n,2013,,
52205,CMSAWCR13,10,2013-07-23 00:00:00,F,490,Heart-bulbus arteriosus,1300001387,11,Sawmill Creek,52205_10,YES,DIPAC08,1L0n,2013,,
52205,CMSAWCR13,11,2013-07-23 00:00:00,F,525,Heart-bulbus arteriosus,1300001387,12,Sawmill Creek,52205_11,NO,,1L0n,2013,,
52205,CMSAWCR13,12,2013-07-23 00:00:00,M,630,Heart-bulbus arteriosus,1300001387,13,Sawmill Creek,52205_12,NO,,1L0n,2013,,
52205,CMSAWCR13,13,2013-07-23 00:00:00,M,650,Heart-bulbus arteriosus,1300001387,14,Sawmill Creek,52205_13,NO,,1L0n,2013,,
52205,CMSAWCR13,14,2013-07-23 00:00:00,M,625,Heart-bulbus arteriosus,1300001387,15,Sawmill Creek,52205_14,NO,,1L0n,2013,,
52205,CMSAWCR13,15,2013-07-23 00:00:00,F,565,Heart-bulbus arteriosus,1300001387,16,Sawmill Creek,52205_15,YES,DIPAC08,1L0n,2013,,
52205,CMSAWCR13,16,2013-07-23 00:00:00,F,500,Heart-bulbus arteriosus,1300001387,17,Sawmill Creek,52205_16,YES,DIPAC08,1L0n,2013,,
52205,CMSAWCR13,17,2013-08-09 00:00:00,M,660,Heart-bulbus arteriosus,1300001416,1,Sawmill Creek,52205_17,NO,,1L0n,2013,,
52205,CMSAWCR13,18,2013-08-09 00:00:00,F,540,Heart-bulbus arteriosus,1300001416,2,Sawmill Creek,52205_18,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,19,2013-08-09 00:00:00,F,550,Heart-bulbus arteriosus,1300001416,3,Sawmill Creek,52205_19,NO,,1L0n,2013,,
52205,CMSAWCR13,20,2013-08-09 00:00:00,F,540,Heart-bulbus arteriosus,1300001416,4,Sawmill Creek,52205_20,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,21,2013-08-09 00:00:00,F,480,Heart-bulbus arteriosus,1300001416,5,Sawmill Creek,52205_21,NO,,1L0n,2013,,
52205,CMSAWCR13,22,2013-08-09 00:00:00,M,460,Heart-bulbus arteriosus,1300001416,6,Sawmill Creek,52205_22,,,4N62,2013,,
52205,CMSAWCR13,23,2013-08-09 00:00:00,F,530,Heart-bulbus arteriosus,1300001416,7,Sawmill Creek,52205_23,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,24,2013-08-09 00:00:00,F,515,Heart-bulbus arteriosus,1300001416,8,Sawmill Creek,52205_24,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,25,2013-08-09 00:00:00,M,530,Heart-bulbus arteriosus,1300001416,9,Sawmill Creek,52205_25,NO,,1R20,2013,,
52205,CMSAWCR13,26,2013-08-09 00:00:00,M,690,Heart-bulbus arteriosus,1300001416,10,Sawmill Creek,52205_26,NO,,1L0n,2013,,
52205,CMSAWCR13,27,2013-08-09 00:00:00,F,520,Heart-bulbus arteriosus,1300001416,11,Sawmill Creek,52205_27,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,28,2013-08-09 00:00:00,F,490,Heart-bulbus arteriosus,1300001416,12,Sawmill Creek,52205_28,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,29,2013-08-09 00:00:00,M,510,Heart-bulbus arteriosus,1300001416,13,Sawmill Creek,52205_29,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,30,2013-08-09 00:00:00,F,575,Heart-bulbus arteriosus,1300001416,14,Sawmill Creek,52205_30,NO,,1L0n,2013,,
52205,CMSAWCR13,31,2013-08-09 00:00:00,F,560,Heart-bulbus arteriosus,1300001416,15,Sawmill Creek,52205_31,NO,,1L0n,2013,,
52205,CMSAWCR13,32,2013-08-09 00:00:00,F,515,Heart-bulbus arteriosus,1300001416,16,Sawmill Creek,52205_32,NO,,1L0n,2013,,
52205,CMSAWCR13,33,2013-08-09 00:00:00,F,510,Heart-bulbus arteriosus,1300001416,17,Sawmill Creek,52205_33,NO,,1R20,2013,,
52205,CMSAWCR13,34,2013-08-09 00:00:00,F,520,Heart-bulbus arteriosus,1300001416,18,Sawmill Creek,52205_34,NO,,1L0n,2013,,
52205,CMSAWCR13,35,2013-08-09 00:00:00,F,490,Heart-bulbus arteriosus,1300001416,19,Sawmill Creek,52205_35,NO,,1L0n,2013,,
52205,CMSAWCR13,36,2013-08-09 00:00:00,F,565,Heart-bulbus arteriosus,1300001416,20,Sawmill Creek,52205_36,YES,DIPAC08,1L0n,2013,,
52205,CMSAWCR13,37,2013-08-09 00:00:00,M,540,Heart-bulbus arteriosus,1300001416,21,Sawmill Creek,52205_37,NO,,1L0n,2013,,
52205,CMSAWCR13,38,2013-08-09 00:00:00,F,605,Heart-bulbus arteriosus,1300001416,22,Sawmill Creek,52205_38,NO,,1L0n,2013,,
52205,CMSAWCR13,39,2013-08-09 00:00:00,F,520,Heart-bulbus arteriosus,1300001416,23,Sawmill Creek,52205_39,NO,,1L0n,2013,,
52205,CMSAWCR13,40,2013-08-09 00:00:00,F,510,Heart-bulbus arteriosus,1300001416,24,Sawmill Creek,52205_40,NO,,1L0n,2013,,
52205,CMSAWCR13,41,2013-08-09 00:00:00,F,525,Heart-bulbus arteriosus,1300001416,25,Sawmill Creek,52205_41,NO,,1L0n,2013,,
52205,CMSAWCR13,42,2013-08-09 00:00:00,F,490,Heart-bulbus arteriosus,1300001416,26,Sawmill Creek,52205_42,NO,,1L0n,2013,,
52205,CMSAWCR13,43,2013-08-09 00:00:00,F,500,Heart-bulbus arteriosus,1300001416,27,Sawmill Creek,52205_43,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,44,2013-08-09 00:00:00,F,535,Heart-bulbus arteriosus,1300001416,28,Sawmill Creek,52205_44,NO,,1L0n,2013,,
52205,CMSAWCR13,45,2013-08-09 00:00:00,M,580,Heart-bulbus arteriosus,1300001416,29,Sawmill Creek,52205_45,NO,,1L0n,2013,,
52205,CMSAWCR13,46,2013-08-09 00:00:00,M,640,Heart-bulbus arteriosus,1300001416,30,Sawmill Creek,52205_46,NO,,1L0n,2013,,
52205,CMSAWCR13,47,2013-08-09 00:00:00,M,520,Heart-bulbus arteriosus,1300001416,31,Sawmill Creek,52205_47,NO,,1L0n,2013,,
52205,CMSAWCR13,48,2013-08-09 00:00:00,F,565,Heart-bulbus arteriosus,1300001416,32,Sawmill Creek,52205_48,NO,,1L0n,2013,,
52205,CMSAWCR13,49,2013-08-09 00:00:00,M,545,Heart-bulbus arteriosus,1300001416,33,Sawmill Creek,52205_49,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,50,2013-08-09 00:00:00,F,545,Heart-bulbus arteriosus,1300001416,34,Sawmill Creek,52205_50,NO,,1L0n,2013,,
52205,CMSAWCR13,51,2013-08-09 00:00:00,F,540,Heart-bulbus arteriosus,1300001416,35,Sawmill Creek,52205_51,YES,DIPAC08,1L0n,2013,,
52205,CMSAWCR13,52,2013-08-09 00:00:00,F,540,Heart-bulbus arteriosus,1300001416,36,Sawmill Creek,52205_52,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,53,2013-08-09 00:00:00,F,525,Heart-bulbus arteriosus,1300001416,37,Sawmill Creek,52205_53,NO,,1L0n,2013,,
52205,CMSAWCR13,54,2013-08-09 00:00:00,F,520,Heart-bulbus arteriosus,1300001416,38,Sawmill Creek,52205_54,NO,,1L0n,2013,,
52205,CMSAWCR13,55,2013-08-09 00:00:00,M,530,Heart-bulbus arteriosus,1300001416,40,Sawmill Creek,52205_55,YES,DIPAC08,1L0n,2013,,
52205,CMSAWCR13,56,2013-08-09 00:00:00,M,510,Heart-bulbus arteriosus,1300001416,42,Sawmill Creek,52205_56,NO,,1L0n,2013,,
52205,CMSAWCR13,57,2013-08-09 00:00:00,M,590,Heart-bulbus arteriosus,1300001416,43,Sawmill Creek,52205_57,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,58,2013-08-09 00:00:00,F,520,Heart-bulbus arteriosus,1300001416,44,Sawmill Creek,52205_58,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,59,2013-08-09 00:00:00,M,500,Heart-bulbus arteriosus,1300001416,45,Sawmill Creek,52205_59,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,60,2013-08-09 00:00:00,M,550,Heart-bulbus arteriosus,1300001416,46,Sawmill Creek,52205_60,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,61,2013-08-09 00:00:00,M,500,Heart-bulbus arteriosus,1300001416,48,Sawmill Creek,52205_61,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,62,2013-08-09 00:00:00,F,605,Heart-bulbus arteriosus,1300001417,1,Sawmill Creek,52205_62,NO,,1L0n,2013,,
52205,CMSAWCR13,63,2013-08-09 00:00:00,M,535,Heart-bulbus arteriosus,1300001417,2,Sawmill Creek,52205_63,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,64,2013-08-09 00:00:00,F,560,Heart-bulbus arteriosus,1300001417,3,Sawmill Creek,52205_64,NO,,1L0n,2013,,
52205,CMSAWCR13,65,2013-08-09 00:00:00,F,600,Heart-bulbus arteriosus,1300001417,4,Sawmill Creek,52205_65,,,4N22,2013,,
52205,CMSAWCR13,66,2013-08-09 00:00:00,F,505,Heart-bulbus arteriosus,1300001417,5,Sawmill Creek,52205_66,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,67,2013-08-09 00:00:00,M,580,Heart-bulbus arteriosus,1300001417,6,Sawmill Creek,52205_67,,,4N22,2013,,
52205,CMSAWCR13,68,2013-08-09 00:00:00,F,550,Heart-bulbus arteriosus,1300001417,7,Sawmill Creek,52205_68,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,69,2013-08-09 00:00:00,F,520,Heart-bulbus arteriosus,1300001417,8,Sawmill Creek,52205_69,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,70,2013-08-09 00:00:00,F,555,Heart-bulbus arteriosus,1300001417,9,Sawmill Creek,52205_70,NO,,1L0n,2013,,
52205,CMSAWCR13,71,2013-08-09 00:00:00,F,515,Heart-bulbus arteriosus,1300001417,10,Sawmill Creek,52205_71,NO,,1L0n,2013,,
52205,CMSAWCR13,72,2013-08-09 00:00:00,M,520,Heart-bulbus arteriosus,1300001417,11,Sawmill Creek,52205_72,YES,DIPAC09,1L0n,2013,,
52205,CMSAWCR13,73,2013-08-09 00:00:00,M,575,Heart-bulbus arteriosus,1300001417,12,Sawmill Creek,52205_73,NO,,1L0n,2013,,
52205,CMSAWCR13,74,2013-08-09 00:00:00,F,495,Heart-bulbus arteriosus,1300001417,13,Sawmill Creek,52205_74,NO,,1R20,2013,,
52205,CMSAWCR13,75,2013-08-09 00:00:00,M,570,Heart-bulbus arteriosus,1300001417,14,Sawmill Creek,52205_75,YES,DIPAC09,1L0n,2013,,
